,Pred_Adult Industry Workers,Pred_Agricultural Workers,Pred_Australian Defence Force Members,Pred_Building And Construction Employees,Pred_Bus Drivers,Pred_Call Centre Operators,Pred_Cleaners,Pred_Community Support Workers And Direct Carers,"Pred_Doctor, Specialist Or Other Medical Professional",Pred_Employee Tradesperson,Pred_Engineers,Pred_Factory Workers,Pred_Fire Fighters,Pred_Fitness And Sporting Industry Employees,Pred_Guards And Security Employees,Pred_Hairdressers And Beauty Professionals,Pred_Hospitality Industry Employees,Pred_It Professionals,Pred_Lawyers,Pred_Meat Workers,Pred_Media Professionals,Pred_Mining Site Employees,Pred_Nurses And Midwives,Pred_Office Workers,Pred_Label_26,Pred_Performing Artists,Pred_Professional Sportsperson,Pred_Retail Industry Workers,Pred_Sales And Marketing,Pred_Teachers And Education Professionals,Pred_Travel Agent Employees,Pred_Truck Drivers
True_Hospitality Industry Employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_It Professionals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Lawyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
True_Meat Workers,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Media Professionals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
True_Mining Site Employees,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Nurses And Midwives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
True_Office Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0
True_Label_26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
True_Performing Artists,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Professional Sportsperson,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
True_Retail Industry Workers,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0
True_Sales And Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
True_Teachers And Education Professionals,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
True_Travel Agent Employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Truck Drivers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
